transaction_id,date,timestamp,company_name,ticker_symbol,sector,country,currency,transaction_type,price_per_share,volume,transaction_value,market_cap_msek,pe_ratio,earnings_msek,revenue_msek,debt_to_equity,return_on_equity,dividend_yield,beta,sharpe_ratio,daily_return,spread_pct,portfolio_type,risk_rating,analyst_rating,esg_score,credit_rating,var_95,liquidity_score,quarter,fiscal_year
TXN100020,2020-01-11,2020-01-11 16:03:05,Alfa Laval,ALFA,Industrials,Sweden,SEK,SPLIT,145872.7,18513,2700541271.18,183490.14,16.43,11167.69,47290.37,2.174,0.1787,0.0451,1.632,-0.191,0.006983,0.0191,GROWTH,MEDIUM,SELL,67.3,BBB+,50496258.53,6.1,Q1,2020
TXN100021,2020-01-11,2020-01-11 11:26:12,ABB Ltd,ABB,Industrials,Switzerland,CHF,SELL,335105.11,2260,757337540.31,613763.86,21.78,28179.03,135270.74,2.016,0.0774,0.0297,0.586,1.149,-0.023433,0.0155,GROWTH,LOW,BUY,70.2,AA-,17001974.61,3.5,Q1,2020
TXN100022,2020-01-11,2020-01-11 09:24:50,SKF,SKF,Industrials,Sweden,SEK,SPLIT,44440.59,14998,666519980.0,87948.0,21.18,4152.18,62655.77,0.395,0.346,0.0225,1.056,1.938,0.006718,0.0091,FIXED_INCOME,MEDIUM,STRONG_BUY,88.9,AA-,23163943.56,6.4,Q1,2020
TXN100023,2020-01-12,2020-01-12 16:22:58,Telia Company,TELI,Communication Services,Sweden,SEK,BUY,59642.26,1365,81411682.96,107528.95,14.14,7605.28,103465.82,1.693,0.2738,0.035,1.943,0.625,-0.000464,0.0194,GROWTH,VERY_HIGH,STRONG_BUY,32.8,BBB-,1810671.12,3.5,Q1,2020
TXN100024,2020-01-13,2020-01-13 14:24:17,Boliden,BOLI,Materials,Sweden,SEK,SPLIT,194152.35,4298,834466820.62,110311.46,19.63,5619.07,36341.25,1.648,0.2587,0.0273,1.441,1.253,0.044296,0.0063,VALUE,VERY_HIGH,SELL,42.2,A-,9944355.41,5.5,Q1,2020
TXN100025,2020-01-13,2020-01-13 14:38:14,Swedbank,SWED,Financials,Sweden,SEK,SELL,132977.49,13595,1807828991.46,149914.11,16.14,9289.54,49690.96,0.574,0.3233,0.0494,1.925,1.677,0.00775,0.0015,EQUITY,HIGH,STRONG_BUY,54.5,BBB,5186037.15,9.8,Q1,2020
TXN100027,2020-01-14,2020-01-14 12:10:06,SKF,SKF,Industrials,Sweden,SEK,SELL,82018.01,10563,866356245.63,110019.53,16.66,6605.35,90843.29,1.745,0.2061,0.0463,1.28,2.057,0.031327,0.0015,MIXED,MEDIUM,BUY,79.1,BBB+,8967450.25,4.0,Q1,2020
TXN100031,2020-01-14,2020-01-14 09:45:44,Telia Company,TELI,Communication Services,Sweden,SEK,BUY,127018.86,201,25530791.53,135392.74,28.11,4815.9,31613.74,1.424,0.0822,0.0268,1.299,0.227,-0.019259,0.0072,VALUE,MEDIUM,BUY,37.8,BBB-,941356.44,8.5,Q1,2020
TXN100030,2020-01-14,2020-01-14 12:37:20,Swedbank,SWED,Financials,Sweden,SEK,SPLIT,299820.73,4241,1271539696.1,177379.02,13.03,13608.77,72356.67,0.29,0.2898,0.0377,0.623,2.121,-0.01011,0.008,FIXED_INCOME,HIGH,HOLD,61.5,BBB+,18109036.41,5.6,Q1,2020
TXN100026,2020-01-14,2020-01-14 09:51:30,Volvo AB,VOLV,Industrials,Sweden,SEK,RIGHTS_ISSUE,272100.1,9106,2477743489.84,542827.52,22.9,23706.05,164924.67,1.154,0.132,0.0034,1.797,1.939,-0.008501,0.0096,MIXED,HIGH,SELL,38.4,BB+,64987493.45,7.2,Q1,2020
TXN100028,2020-01-14,2020-01-14 13:34:52,Sandvik,SAND,Industrials,Sweden,SEK,DIVIDEND,281490.54,10730,3020393465.85,308179.83,16.56,18612.55,110799.83,1.102,0.1812,0.0542,1.022,1.042,-0.033568,0.0097,FIXED_INCOME,HIGH,SELL,93.7,A-,58730110.25,5.3,Q1,2020
TXN100029,2020-01-14,2020-01-14 15:22:59,Ericsson,ERIC,Technology,Sweden,SEK,DIVIDEND,227296.04,12012,2730280073.0,275242.43,29.51,9326.84,123355.95,0.549,0.0916,0.0385,0.773,0.537,-0.001006,0.0018,FIXED_INCOME,LOW,BUY,41.0,A+,51683372.87,4.4,Q1,2020
TXN100032,2020-01-15,2020-01-15 11:36:12,Telia Company,TELI,Communication Services,Sweden,SEK,BUY,92569.05,4328,400638868.69,135972.45,13.56,10024.09,63676.84,1.55,0.2736,0.0259,0.691,0.351,-0.027471,0.0029,VALUE,MEDIUM,STRONG_SELL,39.9,A+,10268250.95,4.1,Q1,2020
TXN100033,2020-01-16,2020-01-16 13:11:31,Alfa Laval,ALFA,Industrials,Sweden,SEK,RIGHTS_ISSUE,87547.34,17986,1574626457.89,157432.94,23.66,6654.55,100755.1,1.406,0.1731,0.0589,0.668,0.694,-0.010403,0.0137,VALUE,MEDIUM,BUY,90.4,A-,5205631.91,8.4,Q1,2020
TXN100034,2020-01-16,2020-01-16 09:14:38,Ericsson,ERIC,Technology,Sweden,SEK,SELL,413436.31,3380,1397414718.07,302446.88,36.33,8325.27,61628.83,1.368,0.1227,0.0069,1.416,0.366,-0.016708,0.0022,EQUITY,MEDIUM,STRONG_BUY,94.3,A,22574458.59,8.7,Q1,2020
TXN100039,2020-01-17,2020-01-17 14:45:42,Telia Company,TELI,Communication Services,Sweden,SEK,SELL,169214.22,4393,743358051.89,123324.77,23.01,5360.51,99968.36,2.206,0.3296,0.0339,1.545,2.267,0.053371,0.015,EQUITY,MEDIUM,HOLD,90.7,BBB-,7510853.92,9.9,Q1,2020
TXN100037,2020-01-17,2020-01-17 09:01:09,Swedbank,SWED,Financials,Sweden,SEK,DIVIDEND,108626.57,2644,287208650.69,182807.2,17.4,10507.17,59855.75,0.97,0.0918,0.0476,1.43,1.1,0.006239,0.0151,MIXED,MEDIUM,BUY,32.2,A-,7119844.51,5.4,Q1,2020
TXN100038,2020-01-17,2020-01-17 10:54:33,Boliden,BOLI,Materials,Sweden,SEK,SELL,73330.97,5224,383080982.35,115866.95,9.33,12421.97,56646.2,0.493,0.1692,0.0478,0.725,0.188,-0.014976,0.0045,FIXED_INCOME,HIGH,HOLD,89.0,BBB+,2893584.18,5.8,Q1,2020
TXN100036,2020-01-17,2020-01-17 11:21:45,SSAB,SSAB,Materials,Sweden,SEK,DIVIDEND,52553.44,5731,301183788.85,60893.8,9.97,6106.97,28682.7,1.73,0.2069,0.0215,1.816,0.677,0.000868,0.0054,FIXED_INCOME,MEDIUM,BUY,88.5,A,11072833.19,6.8,Q1,2020
TXN100035,2020-01-17,2020-01-17 16:00:21,Sandvik,SAND,Industrials,Sweden,SEK,BUY,204341.28,14030,2866908131.24,326190.23,19.74,16521.56,114482.46,1.147,0.1547,0.0558,1.746,2.395,0.015933,0.0151,EQUITY,LOW,STRONG_BUY,67.3,BBB,67016920.8,4.4,Q1,2020
TXN100040,2020-01-18,2020-01-18 10:21:19,Hexagon AB,HEXA,Technology,Sweden,SEK,BUY,179079.92,123,22026830.38,305202.36,29.36,10394.04,44387.06,2.201,0.2057,0.0355,1.099,-0.336,0.016963,0.0076,VALUE,MEDIUM,HOLD,52.6,BBB,456686.23,6.2,Q1,2020
TXN100041,2020-01-19,2020-01-19 11:46:27,IKEA Holding,IKEA,Consumer Discretionary,Netherlands,EUR,BUY,83280.69,1080,89943145.0,124530.12,18.53,6721.28,44906.26,1.164,0.3245,0.0217,1.371,1.397,-0.002481,0.0089,FIXED_INCOME,VERY_HIGH,BUY,35.5,BB,4113423.64,3.5,Q1,2020
TXN100042,2020-01-19,2020-01-19 11:45:35,Alfa Laval,ALFA,Industrials,Sweden,SEK,BUY,109503.46,3119,341541299.18,182136.17,14.73,12366.01,53856.39,0.672,0.1072,0.0022,1.208,1.195,0.025422,0.0039,MIXED,MEDIUM,HOLD,41.8,BBB-,250657.95,9.6,Q1,2020
TXN100049,2020-01-20,2020-01-20 14:20:10,H&M,H&M,Consumer Discretionary,Sweden,SEK,BUY,116972.98,1350,157913528.77,144360.74,25.84,5587.14,24877.18,1.884,0.292,0.0395,1.538,2.048,-0.004025,0.0017,FIXED_INCOME,VERY_HIGH,SELL,75.9,BBB-,3587130.3,9.4,Q1,2020
TXN100048,2020-01-20,2020-01-20 11:21:47,Nordea Bank,NORD,Financials,Finland,EUR,BUY,263472.85,3520,927424442.16,419523.38,13.95,30071.68,498823.91,1.342,0.2291,0.0201,1.656,-0.18,0.014655,0.0162,GROWTH,HIGH,HOLD,75.2,A+,13332034.48,7.1,Q1,2020
TXN100047,2020-01-20,2020-01-20 12:40:36,IKEA Holding,IKEA,Consumer Discretionary,Netherlands,EUR,BUY,153544.02,6447,989898309.19,158689.14,15.94,9955.83,119579.96,1.897,0.0748,0.0362,0.868,0.668,-0.046894,0.01,VALUE,MEDIUM,HOLD,73.1,BB+,11301097.03,3.2,Q1,2020
TXN100046,2020-01-20,2020-01-20 09:11:38,Boliden,BOLI,Materials,Sweden,SEK,SELL,134710.27,4139,557565788.63,122732.21,19.81,6194.58,39929.5,0.595,0.1317,0.0011,1.871,-0.147,0.005621,0.0124,GROWTH,HIGH,SELL,73.2,AA-,16630464.51,9.4,Q1,2020
TXN100045,2020-01-20,2020-01-20 11:46:00,Spotify,SPOT,Technology,Sweden,SEK,DIVIDEND,317108.62,23495,7450466990.02,390407.26,39.33,9926.6,61882.89,1.203,0.1383,0.0569,1.645,-0.08,-0.02776,0.0014,FIXED_INCOME,HIGH,HOLD,47.5,A-,48563229.96,4.0,Q1,2020
TXN100044,2020-01-20,2020-01-20 13:46:44,Swedbank,SWED,Financials,Sweden,SEK,BUY,245108.93,234,57355489.23,198986.63,16.3,12206.12,94301.86,1.737,0.1115,0.0176,1.845,-0.461,0.018981,0.0165,GROWTH,LOW,HOLD,52.2,A+,1041058.26,5.7,Q1,2020
TXN100043,2020-01-20,2020-01-20 12:42:37,SSAB,SSAB,Materials,Sweden,SEK,BUY,48495.16,199,9650536.95,73122.9,12.9,5666.33,102879.63,0.559,0.2648,0.0395,0.541,0.166,-0.026031,0.0044,MIXED,LOW,SELL,72.4,A+,169818.05,8.1,Q1,2020
TXN100050,2020-01-21,2020-01-21 16:00:16,H&M,H&M,Consumer Discretionary,Sweden,SEK,DIVIDEND,148257.85,18655,2765750188.98,145092.65,28.95,5012.11,45785.34,2.326,0.3413,0.0567,1.211,2.086,-0.00819,0.0025,MIXED,LOW,HOLD,75.3,A,46764075.19,8.1,Q1,2020
TXN100051,2020-01-22,2020-01-22 10:22:16,Atlas Copco,ATLA,Industrials,Sweden,SEK,DIVIDEND,1234230.76,21770,26869203576.52,656492.42,22.28,29466.34,259043.61,1.64,0.3158,0.037,0.849,-0.427,-0.038094,0.0162,FIXED_INCOME,MEDIUM,SELL,94.9,A,398392784.8,6.4,Q1,2020
TXN100052,2020-01-24,2020-01-24 09:24:28,Nordea Bank,NORD,Financials,Finland,EUR,BUY,447223.43,1793,801871607.31,461504.72,16.74,27574.3,111719.75,1.967,0.1753,0.0253,1.606,0.216,-0.000194,0.0083,EQUITY,MEDIUM,BUY,74.2,A+,17915533.59,9.6,Q1,2020
TXN100053,2020-01-24,2020-01-24 15:31:56,Investor AB,INVE,Financials,Sweden,SEK,SPLIT,451583.48,10358,4677501673.31,665846.28,16.79,39654.52,165955.7,1.275,0.234,0.01,1.987,0.195,-0.016012,0.0044,FIXED_INCOME,MEDIUM,BUY,44.3,A+,63736239.92,3.4,Q1,2020
TXN100054,2020-01-24,2020-01-24 15:06:53,Hexagon AB,HEXA,Technology,Sweden,SEK,BUY,213184.84,1370,292063229.75,367477.3,55.93,6570.01,27892.17,2.488,0.1022,0.0238,1.637,1.588,0.03145,0.0027,MIXED,LOW,HOLD,87.0,A+,11086362.93,3.9,Q1,2020
TXN100056,2020-01-25,2020-01-25 13:01:20,H&M,H&M,Consumer Discretionary,Sweden,SEK,DIVIDEND,134917.3,12398,1672704688.18,208610.1,20.34,10255.87,45435.02,2.034,0.2475,0.051,1.801,1.625,-0.002842,0.0074,EQUITY,MEDIUM,SELL,78.3,AA-,35908180.47,8.7,Q1,2020
TXN100055,2020-01-25,2020-01-25 12:10:28,Alfa Laval,ALFA,Industrials,Sweden,SEK,BUY,235737.22,5848,1378591235.25,195726.67,19.16,10214.77,151560.39,1.139,0.1618,0.0156,1.585,0.988,0.022172,0.0104,VALUE,LOW,SELL,61.2,BBB+,20824455.45,7.7,Q1,2020
TXN100057,2020-01-26,2020-01-26 10:21:10,ABB Ltd,ABB,Industrials,Switzerland,CHF,DIVIDEND,764471.43,15314,11707115527.26,504911.18,15.73,32095.56,185111.11,2.457,0.2395,0.0156,1.451,1.12,0.000568,0.0075,EQUITY,MEDIUM,STRONG_SELL,71.1,BB+,181877811.54,5.1,Q1,2020
TXN100058,2020-01-26,2020-01-26 10:35:57,Hexagon AB,HEXA,Technology,Sweden,SEK,RIGHTS_ISSUE,197103.35,2393,471668322.36,320190.01,27.36,11704.02,70322.24,0.996,0.2363,0.0027,1.807,2.42,0.03181,0.014,FIXED_INCOME,HIGH,STRONG_BUY,59.0,A+,9123243.29,10.0,Q1,2020
TXN100059,2020-01-26,2020-01-26 16:45:01,H&M,H&M,Consumer Discretionary,Sweden,SEK,RIGHTS_ISSUE,202144.95,6662,1346689657.16,146875.86,30.9,4753.85,25187.77,0.708,0.0747,0.0408,1.482,0.32,-0.003055,0.0131,MIXED,VERY_HIGH,HOLD,55.8,A+,26319890.98,9.3,Q1,2020
TXN100060,2020-01-26,2020-01-26 15:10:03,Investor AB,INVE,Financials,Sweden,SEK,BUY,390308.23,7593,2963610424.79,703700.28,10.13,69459.78,1235349.66,1.699,0.1606,0.0519,1.21,2.405,0.013354,0.0035,FIXED_INCOME,HIGH,SELL,32.1,BBB-,98663111.44,7.3,Q1,2020
TXN100061,2020-01-26,2020-01-26 12:12:26,Nordea Bank,NORD,Financials,Finland,EUR,BUY,190252.78,1957,372324685.65,322733.14,9.25,34883.06,186427.73,1.19,0.1102,0.0295,0.596,1.246,-0.000495,0.0024,MIXED,MEDIUM,STRONG_BUY,55.5,A-,1549232.5,7.9,Q1,2020
TXN100062,2020-01-29,2020-01-29 13:42:18,Electrolux,ELEC,Consumer Discretionary,Sweden,SEK,SELL,35335.01,6161,217698981.15,50431.31,30.6,1648.24,28455.38,1.305,0.0815,0.0145,1.98,-0.073,0.004668,0.0027,VALUE,MEDIUM,STRONG_BUY,52.8,AA+,90856.38,3.6,Q1,2020
TXN100063,2020-01-29,2020-01-29 10:03:25,Spotify,SPOT,Technology,Sweden,SEK,BUY,189230.95,366,69258528.83,360355.98,49.13,7334.55,34906.94,0.66,0.1002,0.0063,1.455,1.619,-0.020753,0.0175,FIXED_INCOME,MEDIUM,HOLD,76.4,BBB,2112075.35,3.6,Q1,2020
TXN100064,2020-01-29,2020-01-29 16:09:03,Boliden,BOLI,Materials,Sweden,SEK,BUY,116939.68,969,113314550.29,101814.1,14.57,6987.4,32734.05,1.24,0.2431,0.0316,1.597,-0.255,0.010957,0.0135,VALUE,HIGH,BUY,62.4,A-,1616205.43,8.0,Q1,2020
TXN100065,2020-01-29,2020-01-29 15:05:18,Telia Company,TELI,Communication Services,Sweden,SEK,SELL,87433.04,2222,194276207.86,99519.78,24.24,4104.91,63701.52,0.271,0.1273,0.0278,1.802,1.682,0.011786,0.0018,EQUITY,MEDIUM,STRONG_SELL,86.4,A-,7156995.02,6.4,Q1,2020
TXN100066,2020-01-29,2020-01-29 12:06:01,SSAB,SSAB,Materials,Sweden,SEK,SELL,38067.96,805,30644704.87,60896.15,18.81,3237.71,24100.09,0.837,0.2277,0.0547,0.816,1.369,-0.010506,0.0195,GROWTH,HIGH,SELL,41.8,BBB-,407077.1,6.4,Q1,2020
TXN100067,2020-01-31,2020-01-31 13:05:30,Atlas Copco,ATLA,Industrials,Sweden,SEK,SELL,611880.88,7524,4603791710.67,604406.81,18.69,32333.97,265366.05,1.564,0.0991,0.0235,1.954,0.274,0.021748,0.0096,FIXED_INCOME,LOW,STRONG_SELL,45.3,AA,95612554.07,5.4,Q1,2020
TXN100068,2020-01-31,2020-01-31 15:30:31,Nordea Bank,NORD,Financials,Finland,EUR,SELL,206391.46,3318,684806867.79,308701.11,12.31,25079.55,251442.12,1.619,0.262,0.01,0.751,-0.39,0.021106,0.0049,MIXED,HIGH,SELL,37.3,A+,15331381.92,3.4,Q1,2020
TXN100070,2020-02-01,2020-02-01 11:28:02,Hexagon AB,HEXA,Technology,Sweden,SEK,DIVIDEND,137045.5,12496,1712520620.0,262705.45,58.95,4456.64,64795.5,1.747,0.1831,0.0521,0.766,1.578,0.004522,0.0016,MIXED,MEDIUM,HOLD,90.5,BBB+,52243085.58,7.7,Q1,2020
TXN100069,2020-02-01,2020-02-01 15:11:23,ABB Ltd,ABB,Industrials,Switzerland,CHF,BUY,265013.09,5196,1377008019.6,510870.42,24.14,21162.49,186896.24,1.367,0.0625,0.0089,1.98,2.395,-0.020199,0.0108,EQUITY,HIGH,HOLD,61.8,BBB+,42799926.65,4.4,Q1,2020
TXN100073,2020-02-02,2020-02-02 14:51:34,Nordea Bank,NORD,Financials,Finland,EUR,DIVIDEND,224972.88,32127,7227703614.32,354823.76,11.41,31090.86,246676.26,1.117,0.2241,0.032,1.412,1.795,0.000101,0.0011,EQUITY,LOW,BUY,72.1,BBB-,152085419.24,3.4,Q1,2020
TXN100074,2020-02-02,2020-02-02 12:35:03,Investor AB,INVE,Financials,Sweden,SEK,SELL,702097.88,4812,3378494981.6,678901.65,11.52,58951.74,838762.8,1.318,0.127,0.0171,0.961,1.909,-0.01915,0.0044,VALUE,HIGH,BUY,74.3,A+,59980679.93,6.7,Q1,2020
TXN100071,2020-02-02,2020-02-02 16:16:14,ABB Ltd,ABB,Industrials,Switzerland,CHF,DIVIDEND,259348.21,9370,2430092743.2,434039.52,20.47,21207.8,297367.06,1.713,0.3498,0.0029,1.966,0.721,0.033123,0.0087,GROWTH,HIGH,SELL,51.3,BBB+,63119230.61,8.6,Q1,2020
TXN100072,2020-02-02,2020-02-02 09:09:48,ABB Ltd,ABB,Industrials,Switzerland,CHF,SELL,531178.54,3077,1634436374.95,575179.86,22.63,25414.63,343246.95,1.452,0.0517,0.0195,1.05,0.689,0.03334,0.0128,VALUE,LOW,HOLD,60.1,A,49193545.33,9.0,Q1,2020
TXN100078,2020-02-03,2020-02-03 11:07:48,SKF,SKF,Industrials,Sweden,SEK,SELL,61962.55,2060,127642852.61,80516.41,12.9,6240.37,40571.41,0.356,0.2901,0.014,1.31,2.14,0.033951,0.0098,VALUE,MEDIUM,HOLD,33.9,A-,3087704.87,9.7,Q1,2020
TXN100077,2020-02-03,2020-02-03 09:32:36,H&M,H&M,Consumer Discretionary,Sweden,SEK,BUY,288169.79,6542,1885206779.14,189086.78,17.73,10665.52,56422.68,1.13,0.1785,0.0431,1.539,2.474,0.000458,0.0025,GROWTH,MEDIUM,BUY,35.6,BBB-,26738247.56,4.6,Q1,2020
TXN100076,2020-02-03,2020-02-03 12:30:19,Alfa Laval,ALFA,Industrials,Sweden,SEK,BUY,100328.12,10031,1006391332.59,161057.79,22.69,7096.94,52668.35,1.735,0.0787,0.0374,1.178,1.26,0.001376,0.0125,VALUE,LOW,STRONG_BUY,65.5,A+,18648411.25,5.7,Q1,2020
TXN100075,2020-02-03,2020-02-03 15:34:43,Hexagon AB,HEXA,Technology,Sweden,SEK,RIGHTS_ISSUE,227461.61,18103,4117737463.76,318996.19,33.98,9387.85,38699.15,1.312,0.2918,0.033,0.565,1.399,-0.018245,0.005,VALUE,HIGH,BUY,69.7,A,31135726.83,8.5,Q1,2020
TXN100079,2020-02-04,2020-02-04 11:13:51,Essity,ESSI,Consumer Staples,Sweden,SEK,SPLIT,189308.43,6096,1154024180.75,161283.8,23.36,6904.78,99585.39,1.236,0.2768,0.0209,1.497,1.886,0.013088,0.0186,FIXED_INCOME,LOW,STRONG_SELL,65.1,BBB,49846107.34,3.6,Q1,2020
TXN100080,2020-02-04,2020-02-04 09:27:05,Atlas Copco,ATLA,Industrials,Sweden,SEK,BUY,1045664.76,13919,14554607846.44,660299.78,13.66,48337.22,224601.23,1.999,0.2626,0.0022,0.955,0.289,-0.021567,0.0124,FIXED_INCOME,MEDIUM,BUY,63.5,BBB-,22252626.24,6.5,Q1,2020
TXN100081,2020-02-04,2020-02-04 11:53:38,Investor AB,INVE,Financials,Sweden,SEK,DIVIDEND,675681.49,1843,1245280991.82,646639.83,17.31,37365.17,509942.64,2.08,0.1642,0.0527,1.802,1.918,0.009779,0.0142,FIXED_INCOME,MEDIUM,BUY,52.5,BB,38428070.91,3.9,Q1,2020
TXN100082,2020-02-05,2020-02-05 10:05:24,ABB Ltd,ABB,Industrials,Switzerland,CHF,BUY,533803.57,453,241813019.33,561188.57,24.0,23386.91,158649.54,1.594,0.2794,0.0105,1.254,0.696,0.001633,0.0194,MIXED,LOW,BUY,58.1,A,6117126.43,6.5,Q1,2020
